Return,Volatility,Sharpe_Ratio,Excess_Return
0.07419201963995391,0.13935788004856323,0.20947519888922764,0.02919201963995391
0.08017904018463078,0.11716516661903037,0.300251697665549,0.03517904018463078
0.08715953872402563,0.14411060493503816,0.29254986989354603,0.04215953872402563
0.068836356854305,0.11922065937219536,0.19993478462394848,0.023836356854305005
0.0883844176396738,0.15292159644479097,0.28370366676976727,0.04338441763967381
0.07827775676580703,0.14791530677820916,0.22497845213345766,0.033277756765807034
0.0568748375770462,0.10248393683381889,0.11587023238872689,0.011874837577046202
0.07722311222653314,0.11459057895664812,0.2812021068391999,0.03222311222653314
0.07938175070356085,0.14446341184761288,0.2379962529185481,0.03438175070356085
0.07544819039578246,0.13979210837907413,0.21781050982660718,0.030448190395782462
0.09466460737736176,0.15308319769285278,0.3244288604227434,0.049664607377361766
